case:concept:name,concept:name,time:timestamp
Pl-9,Delete Resource,2023-03-31 07:12:02.858
Pl-9,View Project,2023-03-31 07:11:02.858
Pl-8,Edit Project,2023-03-31 07:06:03.858
Pl-8,View Project,2023-03-31 07:05:03.858
Pl-7,Change Role,2023-03-31 07:04:04.858
Pl-7,View Project,2023-03-31 07:04:03.858
Pl-6,Admin Project Quota Change,2023-03-31 08:27:01.976
Pl-5,Owner Project Quota Change,2023-03-31 07:06:02.858
Pl-5,View Project,2023-03-31 07:05:02.858
Pl-4,Owner Project Quota Change,2023-03-31 07:43:30.666
Pl-4,Owner Resource Quota Change,2023-03-31 07:42:30.666
Pl-4,View Project,2023-03-31 07:41:30.666
Pl-3,Owner Resource Quota Change,2023-03-31 07:22:30.666
Pl-2,Create Application Profile,2023-03-31 07:29:59.152
Pl-1,Add Resource,2023-03-31 07:09:23.949
Pl-1,View Project,2023-03-31 07:08:59.152
Pl-1,Add Member,2023-03-31 07:07:11.692
Pl-1,View Project,2023-03-31 07:06:02.858
Pl-1,Add Project,2023-03-31 07:05:01.920
