case:concept:name,concept:name,time:timestamp
Ac-8,Invite External User,2023-03-31 07:05:29.415
Ac-7,Download File,2023-03-31 04:47:29.415
Ac-7,View MD,2023-03-31 03:47:29.415
Ac-4,View MD,2023-03-31 07:30:29.415
Ac-4,Open Resource (RCV),2023-03-31 07:29:29.415
Ac-4,View Search Results,2023-03-31 07:28:29.415
Ac-4,Open Search,2023-03-31 07:27:29.415
Ac-3,Open Resource (RCV),2023-03-31 07:05:29.415
Ac-3,View Search Results,2023-03-31 07:04:29.415
Ac-3,Open Search,2023-03-31 07:03:29.415
Ac-2,View Search Results,2023-03-31 04:47:29.415
Ac-2,Open Search,2023-03-31 03:47:29.415
