case:concept:name,concept:name,time:timestamp
Re-5,PID Enquiry,2023-03-31 05:57:24.139
Re-5,View Search Results,2023-03-31 04:47:29.415
Re-5,Open Search,2023-03-31 03:47:29.415
Re-5,View Project,2023-03-31 02:47:29.415
Re-4,PID Enquiry,2023-03-31 05:57:24.139
Re-4,View Search Results,2023-03-31 04:47:29.415
Re-4,Open Search,2023-03-31 03:47:29.415
Re-4,View Project,2023-03-31 02:47:29.415
Re-3,PID Enquiry,2023-02-05 08:57:24.139
Re-3,View Search Results,2023-02-04 04:47:29.415
Re-3,Open Search,2023-02-03 03:47:29.415
Re-3,View Project,2023-02-02 02:47:29.415
Re-2,PID Enquiry,2023-03-31 08:57:24.139
Re-1,PID Enquiry,2023-03-30 09:56:10.203
Re-1,PID Enquiry,2023-03-30 08:56:10.203
