key,value
vat-tunnus,suppl_vat_number
alv-koodi,price_vat_code
alv-numero,price_vat_code
alv-nimi,price_vat_name
alv nimi,price_vat_name
kustannuspaikan nimi,org_cost_center_name
kustannuspaikan_nimi,org_cost_center_name
kustannuspaikka_nimi,org_cost_center_name
kustannuspaikka nimi,org_cost_center_name
kp:n nimi,org_cost_center_name
kustannuspaikka,org_cost_center_code
kustannuspaikka_numero,org_cost_center_code
kustannuspaikka_id,org_cost_center_code
Kustannus-paikka nro,org_cost_center_code
kp,org_cost_center_code
hilma-tunnus,suppl_hilma
docid,doc_code
id,doc_code
rondo id,doc_code
toimielin (t),org_sub_name_1
toimielin,org_sub_name_1
tulosyksikön nimi,org_sub_name_1
tulosyksikon nimi,org_sub_name_1
tulosyksikon_nimi,org_sub_name_1
tulosyksikön numero,org_sub_code_1
tulosyksikon_id,org_sub_code_1
toimielintunnus,org_sub_code_1
toimielin nro,org_sub_code_1
tulosalue,org_sub_name_2
tulosalueen nimi,org_sub_name_2
tulosaluenumero,org_sub_code_2
tulosalue nro,org_sub_code_2
vastuualue,org_sub_name_3
vastuualueen nimi,org_sub_name_3
vastuualue nro,org_sub_code_3
vastuualuetunnus,org_sub_code_3
vastuualuenumero,org_sub_code_3
tulosyksikkö,org_sub_name_4
tulosyksikön nimi,org_sub_name_4
tulosyksikön numero,org_sub_code_4
tulosyksikön nro,org_sub_code_4
toiminnon nimi,org_sub_name_5
toiminto,org_sub_name_5
osasto,org_sub_name_5
toimintonumero,org_sub_code_5
toslaji,doc_type
tositelaji,doc_type
tositesarja,doc_type
projekti,org_project_code
hanke,org_project_code
projekti/hanke,org_project_code
projektinumero,org_project_code
hankenumero,org_project_code
projekti/hankenumero,org_project_code
projektinro,org_project_code
hankenro,org_project_code
projekti/hanke nro,org_project_code
projektin nimi,org_project_name
hankkeen nimi,org_project_name
projekti/hanke nimi,org_project_name
tiliryhmänumero,account_group_code
tiliryhmä nro,account_group_code
tiliryhmä,account_group_name
tiliryhman nimi,account_group_name
tiliryhmän nimi,account_group_name
tiliryhman_nimi,account_group_name
laskun_numero,doc_invoice
tilausnumero,doc_order
sopimusnumero,doc_contract
ostotilausnumero,doc_order
kirjauspäivä,doc_entry_date
kirjauspäivämäärä,doc_entry_date
kirjauspaivamaara,doc_entry_date
vuosi,doc_year
kuukausi,doc_month
verkkolaskuosoite,suppl_invoice_account
kunnan maa,org_land
