case:concept:name,concept:name,time:timestamp
Pr-4,Upload File,2023-03-31 07:33:15.863
Pr-4,Upload MD,2023-03-31 07:33:14.861
Pr-4,Upload File,2023-03-31 07:33:13.860
Pr-4,View MD,2023-03-31 07:33:12.861
Pr-4,Upload MD,2023-03-31 07:33:11.860
Pr-4,View MD,2023-03-31 07:33:10.861
Pr-4,View MD,2023-03-31 07:33:10.860
Pr-4,View Project,2023-03-31 07:33:09.860
Pr-3,Upload File,2023-03-31 07:33:12.863
Pr-3,Upload MD,2023-03-31 07:33:12.861
Pr-3,Upload File,2023-03-31 07:33:12.860
Pr-3,Upload MD,2023-03-31 07:33:11.860
Pr-3,View MD,2023-03-31 07:33:10.861
Pr-3,View MD,2023-03-31 07:33:10.860
Pr-3,View Project,2023-03-31 07:33:09.860
Pr-2,Upload File,2023-03-31 07:33:12.860
Pr-2,Upload MD,2023-03-31 07:33:11.860
Pr-2,View MD,2023-03-31 07:33:10.860
Pr-2,View Project,2023-03-31 07:33:09.860
Pr-1,Upload File,2023-03-31 07:38:08.860
Pr-1,Upload MD,2023-03-31 07:37:08.860
Pr-1,View MD,2023-03-31 07:36:08.860
Pr-1,Open Resource (RCV),2023-03-31 07:35:08.860
Pr-1,View Project,2023-03-31 07:34:08.860
